strategy_name,n,legal,candidate_source_ok,teacher_validated_false,abaqus_validated_false,duplicate_within_selected
PPOV03_N24_B01_top_v03_score,24,True,True,True,True,False
PPOV03_N24_B02_top_v03_score,24,True,True,True,True,False
PPOV03_N24_B03_top_v03_score,24,True,True,True,True,False
PPOV03_N24_B04_top_v03_score,24,True,True,True,True,False
PPOV03_N24_B05_top_v03_score,24,True,True,True,True,False
PPOV03_N24_B06_u2_guarded,24,True,True,True,True,False
PPOV03_N24_B07_u2_guarded,24,True,True,True,True,False
PPOV03_N24_B08_u2_guarded,24,True,True,True,True,False
PPOV03_N24_B09_u2_guarded,24,True,True,True,True,False
PPOV03_N24_B10_lex_primary_novel,24,True,True,True,True,False
PPOV03_N24_B11_lex_primary_novel,24,True,True,True,True,False
PPOV03_N24_B12_lex_primary_novel,24,True,True,True,True,False
PPOV03_N24_B13_diverse_upper_quartile,24,True,True,True,True,False
PPOV03_N24_B14_diverse_upper_quartile,24,True,True,True,True,False
PPOV03_N24_B15_record_seeking,24,True,True,True,True,False
PPOV03_N24_B16_fill_next_best,24,True,True,True,True,False
PPOV03_N40_B01_top_v03_score,40,True,True,True,True,False
PPOV03_N40_B02_top_v03_score,40,True,True,True,True,False
PPOV03_N40_B03_top_v03_score,40,True,True,True,True,False
PPOV03_N40_B04_top_v03_score,40,True,True,True,True,False
PPOV03_N40_B05_top_v03_score,40,True,True,True,True,False
PPOV03_N40_B06_u2_guarded,40,True,True,True,True,False
PPOV03_N40_B07_u2_guarded,40,True,True,True,True,False
PPOV03_N40_B08_u2_guarded,40,True,True,True,True,False
PPOV03_N40_B09_u2_guarded,40,True,True,True,True,False
PPOV03_N40_B10_lex_primary_novel,40,True,True,True,True,False
PPOV03_N40_B11_lex_primary_novel,40,True,True,True,True,False
PPOV03_N40_B12_lex_primary_novel,40,True,True,True,True,False
PPOV03_N40_B13_diverse_upper_quartile,40,True,True,True,True,False
PPOV03_N40_B14_diverse_upper_quartile,40,True,True,True,True,False
PPOV03_N40_B15_record_seeking,40,True,True,True,True,False
PPOV03_N40_B16_fill_next_best,40,True,True,True,True,False
