case_id,N,strategy_id,job_name,case_dir,sta_path,dat_path,msg_path,odb_path,lck_paths,sta_exists,dat_exists,msg_exists,odb_exists,odb_size_bytes,lck_present,sta_success_marker,sta_abort_marker,dat_fatal_marker,msg_fatal_marker,log_fatal_marker,final_completion_status,notes
N12_A01_raster_left_to_right,N12,A01,J2D_N12_N12_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\J2D_N12_N12_A01_raster_left_to_right.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\J2D_N12_N12_A01_raster_left_to_right.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\J2D_N12_N12_A01_raster_left_to_right.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A01_raster_left_to_right\J2D_N12_N12_A01_raster_left_to_right.odb,,True,True,True,True,56481100,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
N12_A02_odd_even_interlaced,N12,A02,J2D_N12_N12_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\J2D_N12_N12_A02_odd_even_interlaced.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\J2D_N12_N12_A02_odd_even_interlaced.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\J2D_N12_N12_A02_odd_even_interlaced.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A02_odd_even_interlaced\J2D_N12_N12_A02_odd_even_interlaced.odb,,True,True,True,True,51824660,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
N12_A03_greedy_maximin_distance,N12,A03,J2D_N12_N12_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\J2D_N12_N12_A03_greedy_maximin_distance.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\J2D_N12_N12_A03_greedy_maximin_distance.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\J2D_N12_N12_A03_greedy_maximin_distance.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A03_greedy_maximin_distance\J2D_N12_N12_A03_greedy_maximin_distance.odb,,True,True,True,True,52354272,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
N12_A04_method_c_u2_first_engineering,N12,A04,J2D_N12_N12_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\J2D_N12_N12_A04_method_c_u2_first_engineering.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\J2D_N12_N12_A04_method_c_u2_first_engineering.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\J2D_N12_N12_A04_method_c_u2_first_engineering.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A04_method_c_u2_first_engineering\J2D_N12_N12_A04_method_c_u2_first_engineering.odb,,True,True,True,True,52037852,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
N12_A05_center_out,N12,A05,J2D_N12_N12_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\J2D_N12_N12_A05_center_out.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\J2D_N12_N12_A05_center_out.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\J2D_N12_N12_A05_center_out.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A05_center_out\J2D_N12_N12_A05_center_out.odb,,True,True,True,True,51581752,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
N12_A06_edge_in_alternating,N12,A06,J2D_N12_N12_A06_edge_in_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\J2D_N12_N12_A06_edge_in_alternating.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\J2D_N12_N12_A06_edge_in_alternating.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\J2D_N12_N12_A06_edge_in_alternating.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A06_edge_in_alternating\J2D_N12_N12_A06_edge_in_alternating.odb,,True,True,True,True,50900440,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
N12_A07_regular_jump_coprime,N12,A07,J2D_N12_N12_A07_regular_jump_coprime,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\J2D_N12_N12_A07_regular_jump_coprime.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\J2D_N12_N12_A07_regular_jump_coprime.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\J2D_N12_N12_A07_regular_jump_coprime.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A07_regular_jump_coprime\J2D_N12_N12_A07_regular_jump_coprime.odb,,True,True,True,True,51900824,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
N12_A08_block_interleaved_quarters,N12,A08,J2D_N12_N12_A08_block_interleaved_quarters,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\J2D_N12_N12_A08_block_interleaved_quarters.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\J2D_N12_N12_A08_block_interleaved_quarters.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\J2D_N12_N12_A08_block_interleaved_quarters.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A08_block_interleaved_quarters\J2D_N12_N12_A08_block_interleaved_quarters.odb,,True,True,True,True,52690652,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
N12_A09_center_edge_alternating,N12,A09,J2D_N12_N12_A09_center_edge_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\J2D_N12_N12_A09_center_edge_alternating.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\J2D_N12_N12_A09_center_edge_alternating.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\J2D_N12_N12_A09_center_edge_alternating.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A09_center_edge_alternating\J2D_N12_N12_A09_center_edge_alternating.odb,,True,True,True,True,51534320,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,N12,A10,J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.sta,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.dat,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.msg,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_true_variable_N_probe60_v01\N12\N12_A10_graph_pointer_policy_zero_shot_or_proxy_best\J2D_N12_N12_A10_graph_pointer_policy_zero_shot_or_proxy_best.odb,,True,True,True,True,51514684,False,True,False,False,False,False,WARNING_SUCCESS_WITH_WARNINGS,sta_success_and_odb_present_with_nonfatal_warnings
