n,jnl_path,line,matched_tokens,snippet
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,15,mdb.models,"0012: from sketch import *
0013: from visualization import *
0014: from connectorBehavior import *
0015: mdb.models['Model-1'].ConstrainedSketch(name='__profile__', sheetSize=0.06)
0016: mdb.models['Model-1'].sketches['__profile__'].sketchOptions.setValues(
0017:     decimalPlaces=3)
0018: mdb.models['Model-1'].sketches['__profile__'].rectangle(point1=(0.0, 0.0),"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,16,mdb.models,"0013: from visualization import *
0014: from connectorBehavior import *
0015: mdb.models['Model-1'].ConstrainedSketch(name='__profile__', sheetSize=0.06)
0016: mdb.models['Model-1'].sketches['__profile__'].sketchOptions.setValues(
0017:     decimalPlaces=3)
0018: mdb.models['Model-1'].sketches['__profile__'].rectangle(point1=(0.0, 0.0),
0019:     point2=(0.028, 0.003))"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,18,mdb.models,"0015: mdb.models['Model-1'].ConstrainedSketch(name='__profile__', sheetSize=0.06)
0016: mdb.models['Model-1'].sketches['__profile__'].sketchOptions.setValues(
0017:     decimalPlaces=3)
0018: mdb.models['Model-1'].sketches['__profile__'].rectangle(point1=(0.0, 0.0),
0019:     point2=(0.028, 0.003))
0020: mdb.models['Model-1'].Part(dimensionality=TWO_D_PLANAR, name='part_plate',
0021:     type=DEFORMABLE_BODY)"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,20,mdb.models,"0017:     decimalPlaces=3)
0018: mdb.models['Model-1'].sketches['__profile__'].rectangle(point1=(0.0, 0.0),
0019:     point2=(0.028, 0.003))
0020: mdb.models['Model-1'].Part(dimensionality=TWO_D_PLANAR, name='part_plate',
0021:     type=DEFORMABLE_BODY)
0022: mdb.models['Model-1'].parts['part_plate'].BaseShell(sketch=
0023:     mdb.models['Model-1'].sketches['__profile__'])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,22,mdb.models,"0019:     point2=(0.028, 0.003))
0020: mdb.models['Model-1'].Part(dimensionality=TWO_D_PLANAR, name='part_plate',
0021:     type=DEFORMABLE_BODY)
0022: mdb.models['Model-1'].parts['part_plate'].BaseShell(sketch=
0023:     mdb.models['Model-1'].sketches['__profile__'])
0024: del mdb.models['Model-1'].sketches['__profile__']
0025: mdb.models['Model-1'].ConstrainedSketch(gridSpacing=0.001, name='__profile__',"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,23,mdb.models,"0020: mdb.models['Model-1'].Part(dimensionality=TWO_D_PLANAR, name='part_plate',
0021:     type=DEFORMABLE_BODY)
0022: mdb.models['Model-1'].parts['part_plate'].BaseShell(sketch=
0023:     mdb.models['Model-1'].sketches['__profile__'])
0024: del mdb.models['Model-1'].sketches['__profile__']
0025: mdb.models['Model-1'].ConstrainedSketch(gridSpacing=0.001, name='__profile__',
0026:     sheetSize=0.056, transform="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,24,mdb.models,"0021:     type=DEFORMABLE_BODY)
0022: mdb.models['Model-1'].parts['part_plate'].BaseShell(sketch=
0023:     mdb.models['Model-1'].sketches['__profile__'])
0024: del mdb.models['Model-1'].sketches['__profile__']
0025: mdb.models['Model-1'].ConstrainedSketch(gridSpacing=0.001, name='__profile__',
0026:     sheetSize=0.056, transform=
0027:     mdb.models['Model-1'].parts['part_plate'].MakeSketchTransform("
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,25,mdb.models,"0022: mdb.models['Model-1'].parts['part_plate'].BaseShell(sketch=
0023:     mdb.models['Model-1'].sketches['__profile__'])
0024: del mdb.models['Model-1'].sketches['__profile__']
0025: mdb.models['Model-1'].ConstrainedSketch(gridSpacing=0.001, name='__profile__',
0026:     sheetSize=0.056, transform=
0027:     mdb.models['Model-1'].parts['part_plate'].MakeSketchTransform(
0028:     sketchPlane=mdb.models['Model-1'].parts['part_plate'].faces[0],"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,27,mdb.models,"0024: del mdb.models['Model-1'].sketches['__profile__']
0025: mdb.models['Model-1'].ConstrainedSketch(gridSpacing=0.001, name='__profile__',
0026:     sheetSize=0.056, transform=
0027:     mdb.models['Model-1'].parts['part_plate'].MakeSketchTransform(
0028:     sketchPlane=mdb.models['Model-1'].parts['part_plate'].faces[0],
0029:     sketchPlaneSide=SIDE1, sketchOrientation=RIGHT, origin=(0.014, 0.0015,
0030:     0.0)))"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,28,mdb.models,"0025: mdb.models['Model-1'].ConstrainedSketch(gridSpacing=0.001, name='__profile__',
0026:     sheetSize=0.056, transform=
0027:     mdb.models['Model-1'].parts['part_plate'].MakeSketchTransform(
0028:     sketchPlane=mdb.models['Model-1'].parts['part_plate'].faces[0],
0029:     sketchPlaneSide=SIDE1, sketchOrientation=RIGHT, origin=(0.014, 0.0015,
0030:     0.0)))
0031: mdb.models['Model-1'].sketches['__profile__'].sketchOptions.setValues("
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,31,mdb.models,"0028:     sketchPlane=mdb.models['Model-1'].parts['part_plate'].faces[0],
0029:     sketchPlaneSide=SIDE1, sketchOrientation=RIGHT, origin=(0.014, 0.0015,
0030:     0.0)))
0031: mdb.models['Model-1'].sketches['__profile__'].sketchOptions.setValues(
0032:     decimalPlaces=3)
0033: mdb.models['Model-1'].parts['part_plate'].projectReferencesOntoSketch(filter=
0034:     COPLANAR_EDGES, sketch=mdb.models['Model-1'].sketches['__profile__'])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,33,mdb.models,"0030:     0.0)))
0031: mdb.models['Model-1'].sketches['__profile__'].sketchOptions.setValues(
0032:     decimalPlaces=3)
0033: mdb.models['Model-1'].parts['part_plate'].projectReferencesOntoSketch(filter=
0034:     COPLANAR_EDGES, sketch=mdb.models['Model-1'].sketches['__profile__'])
0035: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=0.0,
0036:     point1=(-0.014, -0.0015))"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,34,mdb.models,"0031: mdb.models['Model-1'].sketches['__profile__'].sketchOptions.setValues(
0032:     decimalPlaces=3)
0033: mdb.models['Model-1'].parts['part_plate'].projectReferencesOntoSketch(filter=
0034:     COPLANAR_EDGES, sketch=mdb.models['Model-1'].sketches['__profile__'])
0035: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=0.0,
0036:     point1=(-0.014, -0.0015))
0037: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint("
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,35,mdb.models,"0032:     decimalPlaces=3)
0033: mdb.models['Model-1'].parts['part_plate'].projectReferencesOntoSketch(filter=
0034:     COPLANAR_EDGES, sketch=mdb.models['Model-1'].sketches['__profile__'])
0035: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=0.0,
0036:     point1=(-0.014, -0.0015))
0037: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0038:     addUndoState=False, entity1="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,37,mdb.models,"0034:     COPLANAR_EDGES, sketch=mdb.models['Model-1'].sketches['__profile__'])
0035: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=0.0,
0036:     point1=(-0.014, -0.0015))
0037: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0038:     addUndoState=False, entity1=
0039:     mdb.models['Model-1'].sketches['__profile__'].vertices[0], entity2=
0040:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,39,mdb.models,"0036:     point1=(-0.014, -0.0015))
0037: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0038:     addUndoState=False, entity1=
0039:     mdb.models['Model-1'].sketches['__profile__'].vertices[0], entity2=
0040:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])
0041: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0042:     addUndoState=False, entity="
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,40,mdb.models,"0037: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint(
0038:     addUndoState=False, entity1=
0039:     mdb.models['Model-1'].sketches['__profile__'].vertices[0], entity2=
0040:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])
0041: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0042:     addUndoState=False, entity=
0043:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,41,mdb.models,"0038:     addUndoState=False, entity1=
0039:     mdb.models['Model-1'].sketches['__profile__'].vertices[0], entity2=
0040:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])
0041: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0042:     addUndoState=False, entity=
0043:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])
0044: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=0.0,"
12,E:\Projects\RL-LAM-ScanOpt\cae_model\12track_full\sanity_base\12track_sanity_base.jnl,43,mdb.models,"0040:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])
0041: mdb.models['Model-1'].sketches['__profile__'].HorizontalConstraint(
0042:     addUndoState=False, entity=
0043:     mdb.models['Model-1'].sketches['__profile__'].geometry[6])
0044: mdb.models['Model-1'].sketches['__profile__'].ConstructionLine(angle=0.0,
0045:     point1=(-0.014, 0.0015))
0046: mdb.models['Model-1'].sketches['__profile__'].CoincidentConstraint("
