run_id,batch_option,batch_name,n,handoff_strategy_name,original_run33_candidate_id,original_run33_strategy_name,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance_to_combined172_plus_N32,nearest_existing_teacher_strategy,N32_informed,native_validation_N,order_json,order_compact,order_hash,teacher_validated,teacher_validation_status,notes
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,12,S3R34N32INF_N12_B01_graph_pointer,R33_N12_C00001,N12_R33_N12_C00001_graph_pointer_top,graph_pointer_greedy,greedy_decode,graph_pointer_top,,0.32364471374934334,0.33727448584079156,-1.2455454170703888,0.28373687803073444,0.10807603402337118,0.013629772091448222,0.10606060606060606,N12_A04_method_c_u2_first_engineering,True,True,"[0,2,4,6,5,3,1,8,7,10,9,11]",0-2-4-6-5-3-1-8-7-10-9-11,31e6b32d8dd38787,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,12,S3R34N32INF_N12_B02_surrogate_top,R33_N12_C00677,N12_R33_N12_C00677_surrogate_top_predicted,surrogate_top_predicted,even_odd,surrogate_top_predicted,,0.661164765571144,0.6371351585348045,-1.4781334151824315,0.5403533846304217,0.09853216356833802,0.024029607036339495,0.07575757575757576,S3B20_N12_B01_surrogate_top,True,True,"[2,0,4,10,8,6,3,1,5,11,9,7]",2-0-4-10-8-6-3-1-5-11-9-7,56f66dde780a1bf4,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,12,S3R34N32INF_N12_B03_hybrid_agree,R33_N12_C00650,N12_R33_N12_C00650_hybrid_gnn_surrogate_agreement,hybrid_gnn_surrogate_agreement,even_odd,hybrid_gnn_surrogate_agreement,,0.6428274911674656,0.6165812176728472,-1.6634473204612732,0.5444568527835375,0.10998852465643777,0.02624627349461839,0.25757575757575757,N12_A04_method_c_u2_first_engineering,True,True,"[10,4,0,2,6,8,11,5,9,7,3,1]",10-4-0-2-6-8-11-5-9-7-3-1,9e979747aaf223af,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,12,S3R34N32INF_N12_B04_hybrid_disagree,R33_N12_C00712,N12_R33_N12_C00712_hybrid_gnn_surrogate_disagreement,hybrid_gnn_surrogate_disagreement,even_odd,hybrid_gnn_surrogate_disagreement,,0.5772539413843242,0.5493433881134557,-1.7746683657169342,0.4948544564227534,0.15786517390586913,0.027910553270868443,0.24242424242424243,S3B20_N12_B04_surrogate_top,True,True,"[10,6,2,0,4,8,9,3,11,1,7,5]",10-6-2-0-4-8-9-3-11-1-7-5,d649592d224a9c29,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,16,S3R34N32INF_N16_B01_graph_pointer,R33_N16_C00001,N16_R33_N16_C00001_graph_pointer_top,graph_pointer_greedy,greedy_decode,graph_pointer_top,,0.43811782927692294,0.40720623353697644,-1.4074272811412811,0.36946162585556575,0.14195261369013978,0.030911595739946507,0.125,N16_A04_method_c_u2_first_engineering,True,True,"[0,2,4,6,8,10,9,7,5,3,1,12,11,14,13,15]",0-2-4-6-8-10-9-7-5-3-1-12-11-14-13-15,3829bc1e73f58a5b,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,16,S3R34N32INF_N16_B02_surrogate_top,R33_N16_C00711,N16_R33_N16_C00711_surrogate_top_predicted,surrogate_top_predicted,even_odd,surrogate_top_predicted,,0.5481228105768581,0.5414758463109692,-1.9477287381887436,0.47287319952332674,0.14370025461645788,0.006646964265888844,0.21666666666666667,S3R19B28_N16_B01_surrogate_top,True,True,"[12,4,6,10,14,0,2,8,5,13,15,3,7,1,11,9]",12-4-6-10-14-0-2-8-5-13-15-3-7-1-11-9,27bbe1cb2bd94d9b,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,16,S3R34N32INF_N16_B03_hybrid_agree,R33_N16_C00780,N16_R33_N16_C00780_hybrid_gnn_surrogate_agreement,hybrid_gnn_surrogate_agreement,even_odd,hybrid_gnn_surrogate_agreement,,0.5685106074713308,0.5575516768179976,-1.9300507493317127,0.4815546803405957,0.14485927026864368,0.010958930653333199,0.15,S3B20_N16_B05_surrogate_top,True,True,"[2,6,14,10,0,12,8,4,1,7,3,9,15,5,11,13]",2-6-14-10-0-12-8-4-1-7-3-9-15-5-11-13,5db176c134fa0c3a,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,16,S3R34N32INF_N16_B04_hybrid_disagree,R33_N16_C00727,N16_R33_N16_C00727_hybrid_gnn_surrogate_disagreement,hybrid_gnn_surrogate_disagreement,even_odd,hybrid_gnn_surrogate_disagreement,,0.6596571047621768,0.6472839042082711,-1.803011193871498,0.5492440256311053,0.1044497529317368,0.012373200553905672,0.14166666666666666,S3B20_N16_B01_surrogate_top,True,True,"[8,10,0,4,6,14,12,2,7,11,5,1,3,9,13,15]",8-10-0-4-6-14-12-2-7-11-5-1-3-9-13-15,6f90b93bd69164aa,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,24,S3R34N32INF_N24_B01_graph_pointer,R33_N24_C00001,N24_R33_N24_C00001_graph_pointer_top,graph_pointer_greedy,greedy_decode,graph_pointer_top,,0.6778120707319342,0.6976726804073059,-1.6551993141571681,0.5642316047070748,0.061472304852932515,0.019860609675371732,0.10869565217391304,S3R19B28_N24_B10_known_best_mutation,True,True,"[0,2,4,6,8,10,12,14,16,18,20,22,21,19,17,15,13,11,9,7,5,3,1,23]",0-2-4-6-8-10-12-14-16-18-20-22-21-19-17-15-13-11-9-7-5-3-1-23,fd4d2251d26e8fe6,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
run_34_run33_N32_informed_native_batch32_handoff_package,N32_informed_native_batch32,stage3_run34_N32_informed_native_batch32_v01,24,S3R34N32INF_N24_B02_surrogate_top,R33_N24_C02477,N24_R33_N24_C02477_surrogate_top_predicted,surrogate_top_predicted,even_odd,surrogate_top_predicted,,0.6849718090637044,0.6472591700774294,-2.1050157621502876,0.5660568012547357,0.08666934040195921,0.03771263898627497,0.18840579710144928,S3R24L64_N24_B23_exploitation_reference,True,True,"[16,12,0,2,4,8,14,20,18,10,6,22,15,17,21,11,5,1,7,13,9,3,23,19]",16-12-0-2-4-8-14-20-18-10-6-22-15-17-21-11-5-1-7-13-9-3-23-19,d32aa3c0deee7cee,False,NOT_RUN,Run34 handoff only. N32-informed native-N candidate is not teacher-validated.
