n,order_json,order_compact,order_hash,ppo_v03_checkpoint,ppo_seed,rollout_seed,ppo_generation_mode,predicted_lex_primary_score,predicted_u2_guarded_score,predicted_record_seeking_score,top25_probability,final_v03_score,terminal_reward,surfaceT_only_false_positive_penalty,novelty_vs_combined552,novelty_vs_v01,novelty_vs_v02K2,duplicate_vs_combined552,duplicate_vs_v01,duplicate_vs_v02K2,candidate_source,teacher_validated,abaqus_validated,mean_abs_jump,max_abs_jump,adjacent_fraction,parity_switch_fraction,early_center_bias,early_edge_bias,early_spread_proxy,q1_spread,q2_spread,q3_spread,q4_spread
24,"[21,23,19,17,18,22,20,16,14,15,12,13,10,9,11,8,7,6,4,2,5,3,0,1]","21,23,19,17,18,22,20,16,14,15,12,13,10,9,11,8,7,6,4,2,5,3,0,1",fcc378efe4f89550,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,20260627,deterministic,0.7236723845306167,0.2286673732930177,0.3705958991312329,0.33004571487755546,0.3398632326193986,0.33691797729684564,0.2,20,23,22,False,False,False,PPO_v03_checkpoint_inference,False,False,2.1739130434782608,4.0,0.30434782608695654,0.5217391304347826,0.7391304347826088,0.2608695652173913,0.2608695652173913,0.2608695652173913,0.34782608695652173,0.21739130434782608,0.21739130434782608
24,"[23,21,18,12,19,13,22,20,17,16,14,15,10,9,0,5,2,4,11,8,6,7,3,1]","23,21,18,12,19,13,22,20,17,16,14,15,10,9,0,5,2,4,11,8,6,7,3,1",16ad0032681ce615,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,42921256,stochastic,0.6772725379730041,0.27262269927536015,0.3621345538796183,0.35015771321116174,0.5243637879543723,0.47210196553140915,0.0,20,23,22,False,False,False,PPO_v03_checkpoint_inference,False,False,3.739130434782609,9.0,0.17391304347826086,0.6086956521739131,0.5362318840579711,0.463768115942029,0.4782608695652174,0.4782608695652174,0.34782608695652173,0.43478260869565216,0.43478260869565216
24,"[23,21,19,20,18,22,16,14,13,17,15,11,10,12,6,9,8,7,4,2,3,1,5,0]","23,21,19,20,18,22,16,14,13,17,15,11,10,12,6,9,8,7,4,2,3,1,5,0",5df2570f1e62e9d1,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,42921257,stochastic,0.7560636590929652,0.24631785667366368,0.36868648183630276,0.3151504916649103,0.36440220064150847,0.349626687948529,0.2,19,22,23,False,False,False,PPO_v03_checkpoint_inference,False,False,2.652173913043478,6.0,0.2608695652173913,0.391304347826087,0.7826086956521738,0.21739130434782605,0.21739130434782608,0.21739130434782608,0.2608695652173913,0.2608695652173913,0.21739130434782608
24,"[21,23,16,19,20,22,10,18,17,13,15,12,14,11,8,4,3,2,9,6,5,7,0,1]","21,23,16,19,20,22,10,18,17,13,15,12,14,11,8,4,3,2,9,6,5,7,0,1",70dab46204755b44,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,42921258,stochastic,0.6946849202842107,0.21075262739104525,0.3296205092341728,0.30498376264055377,0.5129987913112573,0.4505942827100462,0.0,21,22,21,False,False,False,PPO_v03_checkpoint_inference,False,False,3.4782608695652173,12.0,0.2608695652173913,0.6086956521739131,0.753623188405797,0.2463768115942029,0.30434782608695654,0.30434782608695654,0.34782608695652173,0.5217391304347826,0.391304347826087
24,"[23,19,21,17,22,20,12,18,13,16,15,9,8,10,14,11,6,1,0,4,3,7,2,5]","23,19,21,17,22,20,12,18,13,16,15,9,8,10,14,11,6,1,0,4,3,7,2,5",29abda6de236cc4d,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,42921259,stochastic,0.6743959385143156,0.2440546802468179,0.35413356188973505,0.3308992336608421,0.5132673233716082,0.4585568964583784,0.0,19,23,22,False,False,False,PPO_v03_checkpoint_inference,False,False,3.652173913043478,8.0,0.17391304347826086,0.5217391304347826,0.7681159420289855,0.2318840579710145,0.2608695652173913,0.2608695652173913,0.391304347826087,0.5652173913043478,0.30434782608695654
24,"[10,21,23,15,19,20,22,17,14,18,16,12,13,7,8,11,9,4,5,6,0,3,1,2]","10,21,23,15,19,20,22,17,14,18,16,12,13,7,8,11,9,4,5,6,0,3,1,2",7ee6bbdd6da5942e,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,42921260,stochastic,0.6261023194466503,0.19979602983815492,0.2983002624881511,0.23916634985326152,0.46543022686825175,0.39755106376375465,0.0,20,21,22,False,False,False,PPO_v03_checkpoint_inference,False,False,3.391304347826087,11.0,0.2608695652173913,0.5217391304347826,0.6086956521739131,0.3913043478260869,0.5652173913043478,0.5652173913043478,0.43478260869565216,0.391304347826087,0.2608695652173913
24,"[17,21,18,19,20,23,16,14,13,11,15,8,12,22,0,6,9,10,7,4,2,5,3,1]","17,21,18,19,20,23,16,14,13,11,15,8,12,22,0,6,9,10,7,4,2,5,3,1",02ebf1dd0a15ca46,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,42921261,stochastic,0.6342435258942415,0.2064096169535891,0.27742353693301103,0.24831266222172307,0.4702113543159227,0.40364174668766284,0.0,20,21,23,False,False,False,PPO_v03_checkpoint_inference,False,False,4.173913043478261,22.0,0.17391304347826086,0.5217391304347826,0.7101449275362318,0.2898550724637681,0.2608695652173913,0.2608695652173913,0.34782608695652173,0.9565217391304348,0.2608695652173913
24,"[23,19,22,20,16,18,17,21,13,14,15,12,11,10,9,8,7,4,3,1,2,5,6,0]","23,19,22,20,16,18,17,21,13,14,15,12,11,10,9,8,7,4,3,1,2,5,6,0",4b515e60f47ee486,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,42921262,stochastic,0.7413550718932038,0.23166954303274284,0.3630698071952231,0.34936139465150895,0.3506208867652674,0.35024303913113985,0.2,12,22,22,False,False,False,PPO_v03_checkpoint_inference,False,False,2.391304347826087,8.0,0.4782608695652174,0.6521739130434783,0.7101449275362318,0.2898550724637681,0.30434782608695654,0.30434782608695654,0.391304347826087,0.30434782608695654,0.2608695652173913
24,"[20,21,16,23,19,13,18,15,11,17,10,22,14,12,9,7,8,6,4,2,3,5,0,1]","20,21,16,23,19,13,18,15,11,17,10,22,14,12,9,7,8,6,4,2,3,5,0,1",af3ac3b84612ff7d,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,42921263,stochastic,0.7413647397905896,0.21416862913415602,0.35411361055948143,0.344828404211815,0.3444807936705487,0.34458507683292855,0.2,20,23,22,False,False,False,PPO_v03_checkpoint_inference,False,False,3.9565217391304346,12.0,0.17391304347826086,0.4782608695652174,0.6231884057971014,0.3768115942028985,0.43478260869565216,0.43478260869565216,0.5217391304347826,0.34782608695652173,0.21739130434782608
24,"[16,21,19,23,17,22,18,15,11,20,13,14,12,2,7,3,10,9,6,8,4,0,5,1]","16,21,19,23,17,22,18,15,11,20,13,14,12,2,7,3,10,9,6,8,4,0,5,1",5922b2a8f4558348,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,42921264,stochastic,0.6537760157864897,0.21078153460500743,0.3006030806063078,0.2874663668130902,0.4855603779140268,0.4261321745837458,0.0,19,22,21,False,False,False,PPO_v03_checkpoint_inference,False,False,4.391304347826087,10.0,0.08695652173913043,0.4782608695652174,0.7101449275362319,0.2898550724637681,0.30434782608695654,0.30434782608695654,0.391304347826087,0.43478260869565216,0.34782608695652173
