run_id,run_purpose,input_dataset,output_dataset,teacher_validated_rows_added,per_N_counts,N32_involved,N32_status,Abaqus_or_ODB_used_in_run,teacher_validation_happened,key_verdict,key_contribution,claim_boundary,report_path,manifest_path
Run27,shortlist64 teacher ranking baseline,native early teacher labels,combined172-era records,64,"{""12"": 8, ""16"": 8, ""24"": 24, ""40"": 24}",False,not involved,True,True,native shortlist benchmark,early heuristic/reference coverage,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_27_manifest.json
Run32A,Stage 2 N32 legacy teacher label ingestion,Stage 2 N32 labels,n32 legacy dedup training 332,332,"{""32"": 332}",True,legacy,False,False,legacy-compatible auxiliary data,N32 semantic separation source,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_32a_manifest.json
Run36,N32-informed native batch32 ingestion,native candidate batch32,native combined204 contribution,32,"{""12"": 4, ""16"": 4, ""24"": 12, ""40"": 12}",False,not involved,True,True,native N32-informed validation,introduced strong N24/N40 native records,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_36_manifest.json
Run41,native N24/N40 focused batch60 teacher extraction,Run39/Run40 focused candidates,Run41 teacher metrics,60,"{""24"": 30, ""40"": 30}",False,not involved,True,True,focused N24/N40 validation,confirmed U2-near saturation and N40 PEEQ improvement,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_41_manifest.json
Run46,constrained N24/N40 batch32 teacher validation,Run44 handoff,combined296 contribution,32,"{""24"": 16, ""40"": 16}",False,not involved,True,True,constrained batch32 validation,N24 U2/reward and N40 reward gains,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_46_manifest.json
Run51,stricter constrained N24/N40 batch32 validation,Run49 handoff,combined328 contribution,32,"{""24"": 16, ""40"": 16}",False,not involved,True,True,stricter guard validation,N24 U2 and N40 strict/reward stability,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_51_manifest.json
Run56,calibrated N24/N40 batch64 validation,Run54 handoff,combined392 contribution,64,"{""24"": 32, ""40"": 32}",False,not involved,True,True,overnight calibrated validation,matured N24/N40 evidence,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_56_manifest.json
Run57,calibrated N24/N40 batch64 ingestion,Run56 teacher metrics,combined392,64,"{""24"": 32, ""40"": 32}",False,not involved,False,False,ingestion/ranking,created combined392,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_57_manifest.json
Run58,combined392 model update and N40-focused generation,combined392,Run58 candidate options,0,{},False,not involved,False,False,model/candidate generation only,evidence-freeze logic and N40 follow-up options,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_58_manifest.json
Run59,Run58-derived N40-focused batch40 handoff,Run58 Option A + pool,Run59 handoff,0,"{""24"": 16, ""40"": 24}",False,not involved,False,False,handoff only,custom N40-focused package,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_59_manifest.json
Run61,custom N40-focused batch40 validation,Run59/Run60 cases,Run61 teacher metrics,40,"{""24"": 16, ""40"": 24}",False,not involved,True,True,N40-focused validation,new N40 U2/reward-family records,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_61_manifest.json
Run62,custom N40-focused batch40 ingestion,Run61 teacher metrics,combined432,40,"{""24"": 16, ""40"": 24}",False,not involved,False,False,ingestion/ranking,built combined432,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_62_manifest.json
Run63,combined432 final N24/N40 evidence freeze and N12/N16 recovery generation,combined432,Run63 candidate options,0,{},False,not involved,False,False,model/candidate generation only,made N12/N16 recovery primary,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_63_manifest.json
Run64,Run63 variable-N recovery anchor batch48 handoff,Run63 Option A,Run64 handoff,0,"{""12"": 12, ""16"": 12, ""24"": 8, ""40"": 16}",False,not involved,False,False,handoff only,variable-N recovery anchor package,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_64_manifest.json
Run66,variable-N recovery anchor batch48 validation,Run64/Run65 cases,Run66 teacher metrics,48,"{""12"": 12, ""16"": 12, ""24"": 8, ""40"": 16}",False,not involved,True,True,teacher validation,strengthened N12/N16 and anchor evidence,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_66_manifest.json
Run67,variable-N recovery anchor batch48 ingestion,Run66 teacher metrics,combined480,48,"{""12"": 12, ""16"": 12, ""24"": 8, ""40"": 16}",False,not involved,False,False,ingestion/ranking,built combined480,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",E:\Projects\RL-LAM-ScanOpt\docs\stage3\runs\run_67_variable_N_recovery_anchor_batch48_teacher_metrics_ingestion_and_combined480_ranking\RUN_67_VARIABLE_N_RECOVERY_ANCHOR_BATCH48_TEACHER_METRICS_INGESTION_AND_COMBINED480_RANKING_REPORT.md,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_67_manifest.json
Run68,combined480 small-N recovery model update,combined480,Run68 candidate options,0,{},False,not involved,False,False,model/candidate generation only,selected small-N recovery as primary,"bounded native tested-N claims; no arbitrary-N, no global optimum, no online RL",E:\Projects\RL-LAM-ScanOpt\docs\stage3\runs\run_68_combined480_model_update_smallN_recovery_candidate_generation\RUN_68_COMBINED480_MODEL_UPDATE_SMALLN_RECOVERY_CANDIDATE_GENERATION_REPORT.md,E:\Projects\RL-LAM-ScanOpt\artifacts\manifests\stage3_run_68_manifest.json
